,gid,고령인구,geometry,20년 노후건물 비율,생산가능인구,유아비율,총인구,개별주택가격,주거용도면적,공시지가,지상층수,용적율,지하층수,대지면적,연면적,높이,건폐율,건축면적,전체건물수,20년 이상 노후건물 수,노후건물비율,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원,읍면동
0,라사13b75b,16.0,"POLYGON ((1013500 1975500, 1013500 1976000, 1014000 1976000, 1014000 1975500, 1013500 1975500))",16.0,21.0,0.0,39.0,59140000.0,93.47,35050.64,1.17,30.52,1.0,533.29,117.69,5.49,28.49,110.63,24.0,7.0,3.4285714285714284,1.348,1.891,19.452,1.933,20.163,1.677,남산면
1,라사16b69a,0.0,"POLYGON ((1016500 1969000, 1016500 1969500, 1017000 1969500, 1017000 1969000, 1016500 1969000))",0.0,0.0,0.0,0.0,89100000.0,78.0,6872.15,1.0,0.0,0.0,0.0,78.0,5.08,0.0,78.0,3.0,0.0,inf,7.084,6.736,23.309,2.004,22.274,13.254,남산면
2,라사35b97b,8.0,"POLYGON ((1035500 1997500, 1035500 1998000, 1036000 1998000, 1036000 1997500, 1035500 1997500))",8.0,0.0,0.0,11.0,25060000.0,110.06,3233.84,1.33,30.24,0.0,454.75,151.43,5.2,29.09,128.97,6.0,4.0,1.5,22.528,17.432,23.174,2.543,23.174,23.241,북산면
3,라사33a99b,9.0,"POLYGON ((1033000 1999500, 1033000 2000000, 1033500 2000000, 1033500 1999500, 1033000 1999500))",9.0,0.0,0.0,14.0,38360000.0,96.34,13148.16,1.25,18.29,0.0,2941.71,179.66,5.93,17.61,169.13,12.0,3.0,4.0,19.194,14.098,19.839,1.391,19.839,19.905,북산면
4,라사12a74a,0.0,"POLYGON ((1012000 1974000, 1012000 1974500, 1012500 1974500, 1012500 1974000, 1012000 1974000))",0.0,0.0,0.0,0.0,108000000.0,198.39,11016.05,2.17,35.63,1.0,656.2,192.2,10.7,20.29,114.17,6.0,2.0,3.0,2.545,3.12,20.349,2.961,21.059,3.273,남산면
5,라사04b81b,20.0,"POLYGON ((1004500 1981500, 1004500 1982000, 1005000 1982000, 1005000 1981500, 1004500 1981500))",20.0,16.0,0.0,36.0,93716666.67,112.77,54791.01,1.04,22.08,1.0,950.25,117.17,4.65,21.73,116.0,26.0,9.0,2.888888888888889,6.001,5.954,25.019,0.701,25.729,6.256,남산면
6,라사24b82b,22.0,"POLYGON ((1024500 1982500, 1024500 1983000, 1025000 1983000, 1025000 1982500, 1024500 1982500))",22.0,38.0,0.0,65.0,124057142.86,118.43,114786.75,1.21,26.73,1.0,561.52,125.36,5.67,22.91,111.14,47.0,17.0,2.764705882352941,1.305,4.274,9.565,2.203,6.961,2.983,동내면
7,라사11b76a,8.0,"POLYGON ((1011500 1976000, 1011500 1976500, 1012000 1976500, 1012000 1976000, 1011500 1976000))",8.0,10.0,0.0,18.0,41514285.71,89.91,31624.59,1.29,26.65,1.0,445.6,114.77,6.29,22.81,81.55,7.0,4.0,1.75,2.872,2.111,18.691,1.953,19.401,2.264,남산면
8,라사17b74b,15.0,"POLYGON ((1017500 1974500, 1017500 1975000, 1018000 1975000, 1018000 1974500, 1017500 1974500))",15.0,47.0,0.0,62.0,85728571.43,121.55,29271.03,1.17,21.23,0.0,1751.0,268.02,4.75,20.52,215.4,24.0,8.0,3.0,7.262,7.805,17.281,6.273,16.245,7.591,신동면
9,라사23b94b,13.0,"POLYGON ((1023500 1994500, 1023500 1995000, 1024000 1995000, 1024000 1994500, 1023500 1994500))",13.0,11.0,0.0,24.0,95966666.67,132.55,32067.66,1.19,31.03,1.0,543.92,150.77,6.37,29.46,140.35,16.0,6.0,2.6666666666666665,3.678,4.557,4.309,2.289,9.687,2.417,신북읍
10,라사03a77b,6.0,"POLYGON ((1003000 1977500, 1003000 1978000, 1003500 1978000, 1003500 1977500, 1003000 1977500))",6.0,0.0,0.0,7.0,111106666.67,147.54,14380.18,1.33,24.54,0.0,833.5,144.98,6.23,21.79,125.09,6.0,3.0,2.0,6.609,6.562,27.38,7.767,30.963,6.544,남산면
11,라사15b67b,0.0,"POLYGON ((1015500 1967500, 1015500 1968000, 1016000 1968000, 1016000 1967500, 1015500 1967500))",0.0,0.0,0.0,7.0,99700000.0,116.87,17496.38,1.2,28.46,0.0,410.25,131.86,6.28,24.89,103.55,5.0,0.0,inf,4.187,3.839,25.166,2.7,24.131,10.357,남산면
12,라사14b99b,0.0,"POLYGON ((1014500 1999500, 1014500 2000000, 1015000 2000000, 1015000 1999500, 1014500 1999500))",0.0,0.0,0.0,7.0,39240000.0,100.02,9633.58,1.17,30.26,0.0,695.17,158.52,4.59,27.28,148.69,6.0,5.0,1.2,16.718,16.603,14.348,4.119,21.649,14.836,사북면
13,라아32b03b,22.0,"POLYGON ((1032500 2003500, 1032500 2004000, 1033000 2004000, 1033000 2003500, 1032500 2003500))",22.0,13.0,0.0,35.0,65970000.0,106.78,17465.48,1.1,16.54,1.0,574.7,150.67,4.63,14.96,143.15,20.0,7.0,2.857142857142857,16.284,10.375,16.929,6.135,16.929,16.996,북산면
14,라사10b80b,7.0,"POLYGON ((1010500 1980500, 1010500 1981000, 1011000 1981000, 1011000 1980500, 1010500 1980500))",7.0,7.0,0.0,14.0,115756666.67,133.82,18323.18,1.33,20.08,1.0,1124.0,147.36,6.45,16.48,123.77,9.0,2.0,4.5,7.41,6.649,17.425,2.867,18.135,6.803,남산면
14,라사10b80b,7.0,"POLYGON ((1010500 1980500, 1010500 1981000, 1011000 1981000, 1011000 1980500, 1010500 1980500))",7.0,7.0,0.0,14.0,115756666.67,133.82,18323.18,1.33,20.08,1.0,1124.0,147.36,6.45,16.48,123.77,9.0,2.0,4.5,7.41,6.649,17.425,2.867,18.135,6.803,서면
15,라사30b89a,0.0,"POLYGON ((1030500 1989000, 1030500 1989500, 1031000 1989500, 1031000 1989000, 1030500 1989000))",0.0,0.0,0.0,0.0,15200000.0,107.33,952.09,1.0,29.24,0.0,367.0,107.33,0.0,29.24,107.33,1.0,1.0,1.0,29.679,29.983,31.603,13.916,30.378,28.67,동면
16,라사17a92a,0.0,"POLYGON ((1017000 1992000, 1017000 1992500, 1017500 1992500, 1017500 1992000, 1017000 1992000))",0.0,7.0,0.0,9.0,128740000.0,121.25,36042.74,1.1,15.5,1.0,708.0,185.9,6.26,15.4,175.96,10.0,2.0,5.0,6.023,2.086,5.274,1.43,8.875,5.069,서면
17,라사14a90a,8.0,"POLYGON ((1014000 1990000, 1014000 1990500, 1014500 1990500, 1014500 1990000, 1014000 1990000))",8.0,0.0,0.0,12.0,35833333.33,68.2,10638.32,1.0,31.32,0.0,475.75,167.0,4.65,31.32,167.0,5.0,3.0,1.6666666666666667,10.803,6.866,10.056,2.639,13.656,9.849,서면
18,라아33a01a,7.0,"POLYGON ((1033000 2001000, 1033000 2001500, 1033500 2001500, 1033500 2001000, 1033000 2001000))",7.0,0.0,0.0,15.0,22800000.0,87.9,11227.64,1.0,24.27,0.0,432.0,66.51,3.18,24.27,66.51,7.0,2.0,3.5,17.208,12.112,17.853,3.122,17.853,17.92,북산면
19,라사24b92b,45.0,"POLYGON ((1024500 1992500, 1024500 1993000, 1025000 1993000, 1025000 1992500, 1024500 1992500))",45.0,105.0,0.0,161.0,78459259.26,104.72,87775.82,1.32,32.64,1.0,474.01,158.96,6.39,27.94,119.14,50.0,14.0,3.571428571428572,9.121,7.962,7.713,5.694,13.674,5.896,신북읍
20,라사09b64a,8.0,"POLYGON ((1009500 1964000, 1009500 1964500, 1010000 1964500, 1010000 1964000, 1009500 1964000))",8.0,0.0,0.0,9.0,80509090.91,145.74,43967.34,1.46,28.08,0.0,943.36,200.28,7.53,22.07,171.04,13.0,10.0,1.3,6.835,6.488,20.189,1.007,33.017,13.005,남면
21,라사25b90b,0.0,"POLYGON ((1025500 1990500, 1025500 1991000, 1026000 1991000, 1026000 1990500, 1025500 1990500))",0.0,0.0,0.0,7.0,107000000.0,99.49,22307.7,1.4,18.37,0.0,703.8,118.83,6.83,16.17,109.11,5.0,0.0,inf,5.819,6.051,7.296,2.344,7.459,5.752,동면
22,라아09b05b,0.0,"POLYGON ((1009500 2005500, 1009500 2006000, 1010000 2006000, 1010000 2005500, 1009500 2005500))",0.0,0.0,0.0,7.0,53975000.0,132.45,9667.17,1.0,19.26,0.0,589.5,53.65,4.1,19.26,53.65,12.0,10.0,1.2,12.008,6.599,23.512,6.598,16.677,12.424,사북면
23,라사22a92a,122.0,"POLYGON ((1022000 1992000, 1022000 1992500, 1022500 1992500, 1022500 1992000, 1022000 1992000))",122.0,130.0,6.0,261.0,79281250.0,103.62,144345.01,1.38,48.57,1.0,1201.58,394.53,6.9,36.16,194.34,100.0,35.0,2.857142857142857,0.354,1.232,2.852,0.972,6.362,2.16,신북읍
24,라사20b76a,0.0,"POLYGON ((1020500 1976000, 1020500 1976500, 1021000 1976500, 1021000 1976000, 1020500 1976000))",0.0,0.0,0.0,6.0,59950000.0,108.47,8518.02,1.0,19.55,1.0,384.5,101.56,5.95,19.55,76.81,2.0,1.0,2.0,15.261,14.543,17.515,3.051,16.479,10.509,동산면
25,라사13a83b,0.0,"POLYGON ((1013000 1983500, 1013000 1984000, 1013500 1984000, 1013500 1983500, 1013000 1983500))",0.0,0.0,0.0,0.0,0.0,0.0,4342.6,2.0,26.94,0.0,445.0,119.88,8.6,18.44,82.08,1.0,0.0,inf,12.748,11.989,15.425,8.867,17.07,11.458,서면
26,라사18a80b,11.0,"POLYGON ((1018000 1980500, 1018000 1981000, 1018500 1981000, 1018500 1980500, 1018000 1980500))",11.0,30.0,0.0,50.0,86566666.67,105.36,33025.3,1.5,25.17,1.0,826.67,213.25,6.61,17.07,141.39,35.0,7.0,5.0,6.439,6.097,7.758,2.581,8.468,2.857,신동면
27,라아18a00b,0.0,"POLYGON ((1018000 2000500, 1018000 2001000, 1018500 2001000, 1018500 2000500, 1018000 2000500))",0.0,0.0,0.0,0.0,0.0,0.0,2232.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.321,17.205,14.952,4.721,22.25,15.44,사북면
28,라아12a00a,9.0,"POLYGON ((1012000 2000000, 1012000 2000500, 1012500 2000500, 1012500 2000000, 1012000 2000000))",9.0,15.0,0.0,25.0,65048888.89,114.32,7614.82,1.45,23.35,0.0,563.72,110.85,5.52,18.16,89.54,11.0,4.0,2.75,16.613,3.746,13.401,3.846,18.885,16.529,사북면
29,라사24b88a,0.0,"POLYGON ((1024500 1988000, 1024500 1988500, 1025000 1988500, 1025000 1988000, 1024500 1988000))",0.0,0.0,0.0,0.0,316000000.0,158.64,13291.55,1.75,0.0,0.0,0.0,177.42,9.98,0.0,239.05,4.0,0.0,inf,5.62,5.924,7.543,2.264,6.319,4.612,동면
30,라사18b94a,9.0,"POLYGON ((1018500 1994000, 1018500 1994500, 1019000 1994500, 1019000 1994000, 1018500 1994000))",9.0,6.0,0.0,17.0,64041666.67,102.52,12763.6,1.12,27.86,1.0,626.18,109.49,5.39,22.86,95.11,17.0,9.0,1.8888888888888888,5.667,4.768,3.295,3.889,9.734,5.927,신북읍
31,라사13b86a,0.0,"POLYGON ((1013500 1986000, 1013500 1986500, 1014000 1986500, 1014000 1986000, 1013500 1986000))",0.0,0.0,0.0,0.0,0.0,0.0,5920.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.251,13.737,16.927,10.37,18.573,16.136,서면
32,라사17b80b,6.0,"POLYGON ((1017500 1980500, 1017500 1981000, 1018000 1981000, 1018000 1980500, 1017500 1980500))",6.0,6.0,0.0,12.0,88020000.0,108.72,21230.77,1.14,22.61,0.0,599.0,83.51,5.84,24.18,84.98,7.0,1.0,7.0,6.592,6.25,7.911,2.734,8.621,3.01,신동면
33,라사24b81a,38.0,"POLYGON ((1024500 1981000, 1024500 1981500, 1025000 1981500, 1025000 1981000, 1024500 1981000))",38.0,87.0,0.0,130.0,129118000.0,130.19,75069.31,1.4,23.07,1.0,531.96,118.5,6.57,18.23,97.01,65.0,15.0,4.333333333333333,2.637,5.234,9.338,3.21,7.716,3.103,동내면
34,라사15b93a,13.0,"POLYGON ((1015500 1993000, 1015500 1993500, 1016000 1993500, 1016000 1993000, 1015500 1993000))",13.0,11.0,0.0,25.0,75066666.67,92.18,24349.78,1.14,23.05,0.0,402.02,83.27,4.84,22.77,77.14,21.0,3.0,7.0,8.432,4.496,7.683,3.681,11.285,7.478,서면
35,라사26b74a,15.0,"POLYGON ((1026500 1974000, 1026500 1974500, 1027000 1974500, 1027000 1974000, 1026500 1974000))",15.0,15.0,0.0,30.0,59098461.54,100.82,21614.5,1.06,27.66,0.0,768.44,93.56,5.63,22.52,90.63,16.0,5.0,3.2,17.006,15.63,14.927,2.328,16.505,12.961,동산면
36,라사20b83a,646.0,"POLYGON ((1020500 1983000, 1020500 1983500, 1021000 1983500, 1021000 1983000, 1020500 1983000))",646.0,1683.0,74.0,2535.0,156652941.18,121.29,404724.35,3.37,88.27,1.16,4748.85,2544.58,14.1,34.62,1476.1,82.0,53.0,1.5471698113207548,3.551,2.175,5.147,3.357,4.112,0.257,퇴계동
37,라아10b04b,31.0,"POLYGON ((1010500 2004500, 1010500 2005000, 1011000 2005000, 1011000 2004500, 1010500 2004500))",31.0,17.0,0.0,48.0,33577586.21,78.72,28783.21,1.08,20.91,0.0,551.63,110.01,4.74,20.14,106.86,25.0,10.0,2.5,13.556,7.271,49.307,7.27,42.797,13.972,사북면
38,라사22b74b,9.0,"POLYGON ((1022500 1974500, 1022500 1975000, 1023000 1975000, 1023000 1974500, 1022500 1974500))",9.0,17.0,0.0,26.0,73627272.73,104.91,21049.25,1.15,19.14,1.0,603.44,109.12,5.29,17.86,103.27,20.0,8.0,2.5,11.459,12.932,17.038,2.66,15.417,11.523,동산면
39,라사03b70a,7.0,"POLYGON ((1003500 1970000, 1003500 1970500, 1004000 1970500, 1004000 1970000, 1003500 1970000))",7.0,19.0,0.0,26.0,38910000.0,100.62,31652.57,1.16,14.69,0.0,589.5,156.88,4.82,14.74,137.57,19.0,5.0,3.8,17.53,18.104,33.223,6.069,36.044,28.425,남면
40,라사09a81b,14.0,"POLYGON ((1009000 1981500, 1009000 1982000, 1009500 1982000, 1009500 1981500, 1009000 1981500))",14.0,8.0,0.0,22.0,38972809.67,27.65,24130.12,1.07,28.96,0.0,781.14,73.53,3.83,27.88,71.72,30.0,4.0,7.5,8.939,8.177,18.953,0.486,19.663,8.332,서면
