,gid,고령인구,geometry,20년 노후건물 비율,생산가능인구,유아비율,총인구,개별주택가격,주거용도면적,공시지가,지상층수,용적율,지하층수,대지면적,연면적,높이,건폐율,건축면적,전체건물수,20년 이상 노후건물 수,노후건물비율,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원,읍면동,배수_score,경사도_score,산사태_길이,산사태_값(합)
0,라사00b68a,0.0,"POLYGON ((1000500 1968000, 1000500 1968500, 1001000 1968500, 1001000 1968000, 1000500 1968000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,1.99,0.82,0.0,0.0
1,라사00b68b,0.0,"POLYGON ((1000500 1968500, 1000500 1969000, 1001000 1969000, 1001000 1968500, 1000500 1968500))",0.0,0.0,0.0,0.0,0.0,0.0,11809.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,0.26,0.58,0.0,0.0
2,라사00b69a,0.0,"POLYGON ((1000500 1969000, 1000500 1969500, 1001000 1969500, 1001000 1969000, 1000500 1969000))",0.0,0.0,0.0,0.0,44888888.89,108.6,27235.46,1.0,15.36,0.0,1540.2,33.09,3.72,15.48,33.26,29.0,3.0,9.666666666666666,20.961,25.755,36.655,9.5,39.476,31.857,남면,0.82,1.5,10.0,28.0
3,라사00b69b,0.0,"POLYGON ((1000500 1969500, 1000500 1970000, 1001000 1970000, 1001000 1969500, 1000500 1969500))",0.0,0.0,0.0,7.0,84575000.0,115.1,30886.45,1.09,15.88,0.0,1008.86,110.76,5.27,15.35,117.28,11.0,3.0,3.6666666666666665,21.39,21.965,37.084,9.929,39.905,32.286,남면,1.1,1.29,8.0,31.0
4,라사00b70a,0.0,"POLYGON ((1000500 1970000, 1000500 1970500, 1001000 1970500, 1001000 1970000, 1000500 1970000))",0.0,0.0,0.0,0.0,0.0,0.0,12103.04,1.0,0.0,0.0,0.0,95.76,0.0,0.0,0.0,1.0,1.0,1.0,8.106,7.724,10.478,3.718,36.82,7.712,남면,0.27,0.3,211.0,792.0
5,라사00b70b,0.0,"POLYGON ((1000500 1970500, 1000500 1971000, 1001000 1971000, 1001000 1970500, 1000500 1970500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,0.62,2.05,0.0,0.0
6,라사01a68a,0.0,"POLYGON ((1001000 1968000, 1001000 1968500, 1001500 1968500, 1001500 1968000, 1001000 1968000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,남면,0.3,1.29,0.0,0.0
7,라사01a68b,0.0,"POLYGON ((1001000 1968500, 1001000 1969000, 1001500 1969000, 1001500 1968500, 1001000 1968500))",0.0,0.0,0.0,0.0,0.0,0.0,11852.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.034,25.828,36.728,9.573,39.548,31.93,남면,0.23,0.85,0.0,0.0
8,라사01a69a,9.0,"POLYGON ((1001000 1969000, 1001000 1969500, 1001500 1969500, 1001500 1969000, 1001000 1969000))",9.0,0.0,0.0,12.0,41575000.0,88.65,26667.46,1.52,32.6,0.0,586.1,155.26,6.97,20.76,118.74,23.0,10.0,2.3,20.542,25.336,36.236,9.081,39.056,31.438,남면,1.59,4.87,520.0,1665.0
9,라사01a69b,0.0,"POLYGON ((1001000 1969500, 1001000 1970000, 1001500 1970000, 1001500 1969500, 1001000 1969500))",0.0,0.0,0.0,0.0,36400000.0,143.53,12035.59,1.33,30.56,0.0,601.0,168.51,5.85,27.02,135.84,3.0,2.0,1.5,21.379,21.953,37.073,9.917,39.893,32.274,남면,1.58,5.79,1676.0,4914.0
10,라사01a70a,0.0,"POLYGON ((1001000 1970000, 1001000 1970500, 1001500 1970500, 1001500 1970000, 1001000 1970000))",0.0,0.0,0.0,0.0,0.0,0.0,5314.95,1.2,7.66,0.0,940.0,113.21,3.94,7.66,95.82,5.0,0.0,inf,22.103,22.677,37.797,10.642,40.617,32.998,남면,1.51,4.5,2135.0,8003.0
11,라사01a70b,0.0,"POLYGON ((1001000 1970500, 1001000 1971000, 1001500 1971000, 1001500 1970500, 1001000 1970500))",0.0,0.0,0.0,0.0,0.0,0.0,4335.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.673,23.246,38.366,11.211,41.187,33.568,남면,0.48,0.4,883.0,2559.0
