,gid,배수_score,경사도_score
0,라사1799,2.01,4.86
1,라아3204,1.4,4.54
2,라사0375,1.1,4.62
3,라사1278,1.85,4.56
4,라사2690,1.35,4.07
5,라사2481,2.49,2.72
6,라아3403,1.15,5.28
7,라사2181,1.6,4.75
8,라사2291,2.31,1.13
9,라사3089,1.07,5.81
10,라사2986,1.25,4.48
11,라사2780,1.05,5.57
12,라사1785,1.61,2.72
13,라사2493,2.99,2.68
14,라사2289,1.75,3.17
15,라사3399,1.6,4.46
16,라사2871,1.55,4.78
17,라사1768,1.47,1.85
18,라사3286,1.04,5.23
19,라사2492,2.56,1.54
20,라아0904,2.04,4.19
21,라사1685,0.42,0.3
22,라사1168,1.44,5.27
23,라사2099,1.41,4.22
24,라사1673,1.88,4.91
25,라사0673,1.66,4.4
26,라사3784,1.8,5.14
27,라사1075,1.15,5.38
28,라사2388,1.65,4.36
29,라사2188,0.78,0.39
30,라사1489,2.28,3.01
31,라아2001,1.08,5.17
32,라사1888,0.42,0.45
33,라사2295,2.76,3.19
34,라사1990,1.63,0.74
35,라사2086,2.03,3.05
36,라사0282,1.36,5.02
37,라사1593,2.15,5.82
38,라사2281,2.57,3.22
39,라사1879,2.8,3.19
40,라사0270,1.3,5.46
41,라사1471,1.74,5.04
42,라사1680,1.72,4.42
43,라사2888,1.16,5.75
44,라사1896,1.72,5.27
45,라사2779,1.08,5.78
46,라사2293,2.93,1.71
47,라사3099,1.17,4.69
48,라사1072,1.84,3.88
49,라사3197,1.37,5.13
50,라사1687,0.65,1.79
51,라사1985,2.38,1.17
52,라사0581,1.66,4.75
53,라사1277,2.13,3.32
54,라사2479,1.56,4.66
55,라아0901,2.0,5.54
56,라사1994,1.63,4.21
57,라사0678,1.09,4.13
58,라사1576,1.53,5.49
59,라사0280,0.84,3.06
60,라사2475,1.23,4.94
61,라사2381,2.72,1.74
62,라사1893,1.38,1.9
63,라사2377,1.21,5.21
64,라사2080,1.97,2.96
65,라사3885,1.71,5.38
66,라아1206,1.19,5.1
67,라사2374,1.33,4.47
68,라사1872,2.07,4.59
69,라사2185,1.68,3.49
70,라아3301,1.5,3.98
71,라사2691,1.42,4.68
72,라사1385,1.87,4.86
73,라사2680,1.35,4.57
74,라사2088,0.94,0.66
75,라사1389,1.77,5.04
76,라사3183,1.21,4.63
77,라사0867,1.04,3.68
78,라사3391,0.85,3.33
79,라사1695,1.55,4.53
80,라사0770,1.74,5.1
81,라사1478,1.6,5.28
82,라사2484,2.27,3.0
83,라사1167,1.58,5.78
84,라사1772,1.47,5.37
85,라사3883,1.9,5.24
86,라사2587,1.2,5.07
87,라아1205,2.18,3.06
88,라사2884,1.16,4.59
89,라아3205,1.01,5.79
90,라사3692,0.98,5.62
91,라사1490,1.59,4.57
92,라사1672,1.89,4.68
93,라사2572,2.11,2.88
94,라사1480,1.01,3.72
95,라사1395,1.76,5.81
96,라사2089,2.55,1.0
97,라사1070,1.59,3.09
98,라사2488,1.22,4.83
99,라사2791,1.25,5.15
100,라사2483,2.2,3.03
101,라사3893,0.83,4.26
102,라사3889,1.28,4.65
103,라사1997,1.45,5.05
104,라사1870,1.84,3.19
105,라아3203,1.6,3.68
106,라사3991,1.44,4.61
107,라사3397,1.02,5.09
108,라사1598,1.45,5.03
109,라아3404,1.12,5.48
110,라사1466,1.01,3.33
111,라사2284,1.79,4.03
112,라사2380,2.54,2.42
113,라사3488,0.87,4.33
114,라사2973,1.12,5.57
115,라아2201,1.09,4.8
116,라사1581,1.07,3.96
117,라사2885,1.03,5.55
118,라사1271,1.68,4.54
119,라사1684,0.76,1.24
120,라사1891,1.67,1.1
121,라사0674,1.53,5.23
122,라사2091,3.22,1.86
123,라사4292,1.04,5.28
124,라사2379,1.65,3.98
125,라사2474,1.86,4.71
126,라사1499,2.14,4.25
127,라사1481,1.01,5.97
128,라사1898,2.31,2.81
129,라사0682,1.86,3.79
130,라사1971,1.6,3.48
131,라사3888,1.09,4.82
132,라사1497,1.41,2.11
133,라사1196,1.97,4.99
134,라아3400,1.06,5.35
135,라사1488,2.12,2.93
136,라사2672,1.66,4.53
137,라사0697,1.97,5.37
138,라사3283,1.3,5.37
139,라사2984,1.14,4.51
140,라사2391,1.66,0.89
141,라사3190,0.73,3.87
142,라사2194,2.07,2.13
143,라사3597,0.95,4.43
144,라아3202,1.06,5.45
145,라사0781,0.89,2.36
146,라사1279,0.97,4.09
147,라사0483,1.8,5.08
148,라사1789,2.16,3.03
149,라아1100,2.2,4.01
150,라사2693,1.5,4.85
151,라사0170,1.2,3.47
152,라사2394,2.12,2.24
153,라사1671,1.94,4.28
154,라사1399,1.36,3.27
155,라사4097,0.85,4.38
156,라사1085,1.91,5.38
157,라사2395,1.91,3.21
158,라사1570,1.6,5.04
159,라사1083,1.92,4.66
160,라사0782,2.07,4.82
161,라사1195,1.94,5.42
162,라사4092,1.06,5.48
163,라사0378,1.27,4.6
164,라사2187,1.72,1.43
165,라사3790,0.95,5.18
166,라사2886,1.1,5.34
167,라사0981,1.37,4.3
168,라사2094,2.54,2.92
169,라사0481,2.14,3.61
170,라사1482,1.0,5.39
171,라사2288,2.03,3.3
172,라사1473,1.9,5.06
173,라사3284,1.62,5.27
174,라사2184,2.1,3.03
175,라아1601,1.05,5.33
176,라사1390,1.86,4.9
177,라사2673,1.37,4.09
178,라아0803,1.83,5.37
179,라사0572,1.99,4.24
180,라사1384,1.2,4.64
