,gid,geometry,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원
0,라사00b69a,"POLYGON ((1000500 1969000, 1000500 1969500, 1001000 1969500, 1001000 1969000, 1000500 1969000))",20.961,25.755,36.655,9.5,39.476,31.857
1,라사00b69b,"POLYGON ((1000500 1969500, 1000500 1970000, 1001000 1970000, 1001000 1969500, 1000500 1969500))",21.39,21.965,37.084,9.929,39.905,32.286
2,라사00b70a,"POLYGON ((1000500 1970000, 1000500 1970500, 1001000 1970500, 1001000 1970000, 1000500 1970000))",8.106,7.724,10.478,3.718,36.82,7.712
3,라사01a68b,"POLYGON ((1001000 1968500, 1001000 1969000, 1001500 1969000, 1001500 1968500, 1001000 1968500))",21.034,25.828,36.728,9.573,39.548,31.93
4,라사01a69a,"POLYGON ((1001000 1969000, 1001000 1969500, 1001500 1969500, 1001500 1969000, 1001000 1969000))",20.542,25.336,36.236,9.081,39.056,31.438
5,라사01a69b,"POLYGON ((1001000 1969500, 1001000 1970000, 1001500 1970000, 1001500 1969500, 1001000 1969500))",21.379,21.953,37.073,9.917,39.893,32.274
6,라사01a70a,"POLYGON ((1001000 1970000, 1001000 1970500, 1001500 1970500, 1001500 1970000, 1001000 1970000))",22.103,22.677,37.797,10.642,40.617,32.998
7,라사01a70b,"POLYGON ((1001000 1970500, 1001000 1971000, 1001500 1971000, 1001500 1970500, 1001000 1970500))",22.673,23.246,38.366,11.211,41.187,33.568
8,라사01b69a,"POLYGON ((1001500 1969000, 1001500 1969500, 1002000 1969500, 1002000 1969000, 1001500 1969000))",20.532,25.325,36.225,9.07,39.046,31.427
9,라사01b69b,"POLYGON ((1001500 1969500, 1001500 1970000, 1002000 1970000, 1002000 1969500, 1001500 1969500))",19.948,20.522,35.642,8.487,38.462,30.844
10,라사01b70a,"POLYGON ((1001500 1970000, 1001500 1970500, 1002000 1970500, 1002000 1970000, 1001500 1970000))",22.585,23.158,38.278,11.124,41.099,33.479
11,라사01b70b,"POLYGON ((1001500 1970500, 1001500 1971000, 1002000 1971000, 1002000 1970500, 1001500 1970500))",22.692,23.265,38.385,11.231,41.206,33.587
12,라사01b71a,"POLYGON ((1001500 1971000, 1001500 1971500, 1002000 1971500, 1002000 1971000, 1001500 1971000))",10.005,9.973,13.62,2.309,37.355,10.854
13,라사02a69b,"POLYGON ((1002000 1969500, 1002000 1970000, 1002500 1970000, 1002500 1969500, 1002000 1969500))",19.084,19.657,34.776,7.622,37.597,29.978
14,라사02a70a,"POLYGON ((1002000 1970000, 1002000 1970500, 1002500 1970500, 1002500 1970000, 1002000 1970000))",19.531,20.104,35.224,8.07,38.045,30.426
15,라사02a70b,"POLYGON ((1002000 1970500, 1002000 1971000, 1002500 1971000, 1002500 1970500, 1002000 1970500))",23.114,23.687,38.807,11.653,41.628,34.008
16,라사02a71a,"POLYGON ((1002000 1971000, 1002000 1971500, 1002500 1971500, 1002500 1971000, 1002000 1971000))",10.401,10.368,14.015,2.705,37.75,11.25
17,라사02a76a,"POLYGON ((1002000 1976000, 1002000 1976500, 1002500 1976500, 1002500 1976000, 1002000 1976000))",6.016,5.983,19.514,7.245,33.365,6.332
18,라사02a76b,"POLYGON ((1002000 1976500, 1002000 1977000, 1002500 1977000, 1002500 1976500, 1002000 1976500))",7.553,7.506,28.324,8.711,31.907,7.489
19,라사02a77a,"POLYGON ((1002000 1977000, 1002000 1977500, 1002500 1977500, 1002500 1977000, 1002000 1977000))",7.16,7.112,27.931,8.318,31.513,7.095
20,라사02a80b,"POLYGON ((1002000 1980500, 1002000 1981000, 1002500 1981000, 1002500 1980500, 1002000 1980500))",2.335,2.288,23.106,3.493,26.689,2.271
21,라사02a81a,"POLYGON ((1002000 1981000, 1002000 1981500, 1002500 1981500, 1002500 1981000, 1002000 1981000))",2.451,2.403,23.221,3.609,26.437,2.706
22,라사02b69b,"POLYGON ((1002500 1969500, 1002500 1970000, 1003000 1970000, 1003000 1969500, 1002500 1969500))",18.052,18.625,33.745,6.59,36.565,28.947
23,라사02b70a,"POLYGON ((1002500 1970000, 1002500 1970500, 1003000 1970500, 1003000 1970000, 1002500 1970000))",18.617,19.191,34.31,7.156,37.131,29.512
24,라사02b70b,"POLYGON ((1002500 1970500, 1002500 1971000, 1003000 1971000, 1003000 1970500, 1002500 1970500))",19.083,19.657,34.776,7.622,37.597,29.978
25,라사02b71a,"POLYGON ((1002500 1971000, 1002500 1971500, 1003000 1971500, 1003000 1971000, 1002500 1971000))",11.0,10.967,14.614,3.304,38.349,11.316
26,라사02b71b,"POLYGON ((1002500 1971500, 1002500 1972000, 1003000 1972000, 1003000 1971500, 1002500 1971500))",11.205,11.172,14.819,3.509,38.554,11.521
27,라사02b75b,"POLYGON ((1002500 1975500, 1002500 1976000, 1003000 1976000, 1003000 1975500, 1002500 1975500))",8.398,8.351,32.042,8.133,32.752,8.334
28,라사02b76a,"POLYGON ((1002500 1976000, 1002500 1976500, 1003000 1976500, 1003000 1976000, 1002500 1976000))",7.754,7.707,28.525,8.769,32.107,7.689
29,라사02b76b,"POLYGON ((1002500 1976500, 1002500 1977000, 1003000 1977000, 1003000 1976500, 1002500 1976500))",7.214,7.167,27.985,8.372,31.567,7.149
30,라사02b77a,"POLYGON ((1002500 1977000, 1002500 1977500, 1003000 1977500, 1003000 1977000, 1002500 1977000))",6.698,6.65,27.469,7.856,31.051,6.633
31,라사02b77b,"POLYGON ((1002500 1977500, 1002500 1978000, 1003000 1978000, 1003000 1977500, 1002500 1977500))",6.039,5.992,26.81,7.197,30.393,5.975
32,라사02b78a,"POLYGON ((1002500 1978000, 1002500 1978500, 1003000 1978500, 1003000 1978000, 1002500 1978000))",5.654,5.606,26.424,6.812,30.007,5.589
33,라사02b80a,"POLYGON ((1002500 1980000, 1002500 1980500, 1003000 1980500, 1003000 1980000, 1002500 1980000))",2.893,2.846,23.664,4.051,27.247,2.829
